Date,BTC Open,BTC High,BTC Low,BTC Close, BTC Volume,NASDAQ Open,NASDAQ High,NASDAQ Low,NASDAQ Close,NASDAQ Volume,Gold Open,Gold High,Gold Low,Gold Close,Gold Volume,Trend
2019-01-05,3851.973877,3904.903076,3836.900146,3845.19458,5137609824,6567.140137,6760.689941,6554.240234,6738.859863,2596150000,1294.2,1294.2,1275.3,1282.7,34,-1
2019-01-06,3836.519043,4093.297363,3826.513184,4076.632568,5597027440,6567.140137,6760.689941,6554.240234,6738.859863,2596150000,1294.2,1294.2,1275.3,1282.7,34,1
2019-01-07,4078.584961,4092.613525,4020.894043,4025.248291,5228625637,6757.529785,6855.600098,6741.399902,6823.470215,2523450000,1286.8,1286.8,1286.6,1286.8,2,-1
2019-01-08,4028.472168,4109.020996,3996.955322,4030.8479,5306593305,6893.439941,6909.580078,6795.859863,6897,2407340000,1280.5,1283.2,1278.2,1283.2,54,1
2019-01-09,4031.552002,4068.403564,4022.662842,4035.296387,5115905225,6923.060059,6985.220215,6899.560059,6957.080078,2434500000,1279.4,1289.3,1279.2,1289.3,102,1
2019-01-10,4034.411377,4064.06665,3659.174561,3678.924561,6874143796,6908.649902,6991.370117,6877.080078,6986.069824,2190110000,1284.7,1284.7,1284.7,1284.7,102,-1
2019-01-11,3674.015381,3713.881836,3653.069824,3687.365479,5538712865,6947.459961,6975.649902,6933.600098,6971.47998,2074310000,1291.2,1291.2,1286.3,1287.1,11,1
2019-01-12,3686.973145,3698.978271,3653.810791,3661.301025,4778170883,6947.459961,6975.649902,6933.600098,6971.47998,2074310000,1291.2,1291.2,1286.3,1287.1,11,-1
2019-01-13,3658.868164,3674.76001,3544.927246,3552.953125,4681302466,6947.459961,6975.649902,6933.600098,6971.47998,2074310000,1291.2,1291.2,1286.3,1287.1,11,-1
2019-01-14,3557.311035,3727.836182,3552.285156,3706.052246,5651384490,6908.029785,6936.220215,6887.47998,6905.919922,1960780000,1292.4,1293.9,1289.1,1289.1,7,1
2019-01-15,3704.216309,3720.15332,3619.949219,3630.675293,5537192302,6931.390137,7025.850098,6928.120117,7023.830078,2066090000,1290.1,1292.7,1286.2,1286.2,3,-1
2019-01-16,3631.509766,3685.7771,3624.67334,3655.006836,5394457145,7033.75,7079.629883,7028.120117,7034.689941,2163730000,1291.6,1291.6,1291.6,1291.6,2,1
2019-01-17,3651.871094,3680.135986,3621.960938,3678.563965,5464420383,7010.129883,7113.950195,7003.620117,7084.459961,2149280000,1291.6,1292.7,1288.5,1291,10,1
2019-01-18,3677.990479,3682.52002,3637.080811,3657.839355,5002961727,7134.100098,7185.379883,7096.620117,7157.22998,2459920000,1281.3,1281.3,1281.3,1281.3,3,-1
2019-01-19,3652.37793,3758.533447,3652.37793,3728.568359,5955691380,7134.100098,7185.379883,7096.620117,7157.22998,2459920000,1281.3,1281.3,1281.3,1281.3,3,1
2019-01-20,3725.446045,3743.387939,3583.019531,3601.013672,5582489560,7134.100098,7185.379883,7096.620117,7157.22998,2459920000,1281.3,1281.3,1281.3,1281.3,3,-1
2019-01-21,3600.372803,3608.84082,3558.537109,3576.032471,5004347059,7134.100098,7185.379883,7096.620117,7157.22998,2459920000,1281.3,1281.3,1281.3,1281.3,3,-1
2019-01-22,3575.081299,3620.746582,3539.721436,3604.577148,5313623556,7109.569824,7110.160156,6979.810059,7020.359863,2397660000,1282.5,1283.3,1282.5,1282.5,7,1
2019-01-23,3605.557129,3623.067871,3565.313965,3585.123047,5433755649,7061.649902,7084.850098,6953.22998,7025.77002,2288090000,1281.7,1283.9,1278.7,1283.1,14,-1
2019-01-24,3584.500244,3616.087402,3569.092773,3600.865479,5262869046,7042.25,7078.959961,7029.950195,7073.459961,2419110000,1279.1,1279.1,1278.5,1279.1,1,1
2019-01-25,3607.390381,3612.927734,3575.597412,3599.765869,5265847539,7128.180176,7174.560059,7111.089844,7164.859863,2446550000,1297.4,1297.4,1297.4,1297.4,1,-1
2019-01-26,3599.715332,3654.933105,3593.345947,3602.460449,5098183235,7128.180176,7174.560059,7111.089844,7164.859863,2446550000,1297.4,1297.4,1297.4,1297.4,1,1
2019-01-27,3604.687256,3612.671387,3567.24585,3583.96582,5570752966,7128.180176,7174.560059,7111.089844,7164.859863,2446550000,1297.4,1297.4,1297.4,1297.4,1,-1
2019-01-28,3584.283203,3586.750977,3439.23291,3470.450439,6908930483,7075.009766,7086.299805,7034.25,7085.680176,2448790000,1300.8,1307.1,1298.4,1302.4,54,-1
2019-01-29,3468.870117,3476.06543,3400.819824,3448.116943,5897159493,7087.490234,7092.290039,7011.470215,7028.290039,2106370000,1308.2,1308.2,1308.2,1308.2,213607,-1
2019-01-30,3443.896973,3495.174805,3429.387939,3486.181641,5955112627,7094.790039,7201.310059,7065.569824,7183.080078,2569410000,1310.4,1323.4,1308.1,1309.9,54958,1
2019-01-31,3485.40918,3504.804932,3447.915771,3457.792725,5831198271,7208.169922,7303.120117,7205.950195,7281.740234,2947490000,1320,1325.4,1316.7,1319.7,1970,-1
2019-02-01,3460.547119,3501.954102,3431.591553,3487.945313,5422926707,7256.370117,7299.939941,7243.410156,7263.870117,2398800000,1320.3,1320.7,1315.4,1316.9,878,1
2019-02-02,3484.625977,3523.287354,3467.574707,3521.060791,5071623601,7256.370117,7299.939941,7243.410156,7263.870117,2398800000,1320.3,1320.7,1315.4,1316.9,878,1
2019-02-03,3516.139648,3521.388184,3447.924316,3464.013428,5043937584,7256.370117,7299.939941,7243.410156,7263.870117,2398800000,1320.3,1320.7,1315.4,1316.9,878,-1
